 Địa Phương,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Hà Nội,2431,2492.9,2556,2621.5,2685,2767.7,2852.9,2928.3,3000.3,3071.4,3133.4,3184.8,3228.5,6381.8,6472,6633.6,6761.3,6865.2,6977,7095.9,7202.9,7310.7,7420.1,7520.7
Hà Tây,2299,2328,2353,2373.6,2391.7,2430.2,2475.5,2527,2587.3,2649.1,2702.9,2742.4,2773.7,..,..,..,..,..,..,..,..,..,..,..
Vĩnh Phúc,1048.2,1061.9,1075.8,1085.7,1094.3,1104.1,1114.1,1124.3,1134.1,1145.2,1157,1166,1174.1,993.8,1000.4,1007.6,1011.4,1022.4,1029.4,1041.9,1054.5,1066,1079.5,1092.4
Bắc Ninh,916,925.3,931.7,937.6,943,950.6,958.9,967.6,975.3,983.2,991.1,999.8,1009.4,1018.1,1026.5,1044.2,1063.4,1085.8,1108.2,1131.2,1154.7,1178.6,1215.3,1247.5
Quảng Ninh,941.7,958,974.4,991.4,1007.2,1024.2,1039.3,1054.4,1068.4,1081.8,1096.1,1109.3,1122.5,1135.1,1146.1,1157.2,1168,1177.7,1187.5,1199.4,1211.3,1227,1245.3,1266.5
Hải Dương,1609.1,1619.5,1630.5,1641.3,1651,1656.9,1662.7,1668.1,1673.7,1680.4,1685.5,1689.7,1694.7,1700.8,1706.8,1716.4,1729.8,1741.7,1751.8,1763.2,1774.5,1785.8,1797.2,1807.5
Hải Phòng,1608.2,1625,1641.9,1659.5,1676.7,1691.5,1708.6,1725.3,1741,1757.8,1773.4,1789.1,1806.5,1824.1,1840.4,1857.8,1879.8,1904.1,1925.2,1946,1963.3,1980.8,1997.7,2013.8
Hưng Yên,1033.2,1042.6,1052.2,1061.7,1071.4,1079,1086,1091.5,1097,1104.3,1111,1116.4,1121.3,1126.2,1128.6,1132.3,1138.4,1144.1,1151.6,1158.1,1164.1,1170.3,1176.3,1188.9
Thái Bình,1752.3,1761,1769.5,1778.5,1788.1,1789.4,1790.3,1790.9,1790.9,1791.2,1790.5,1787.4,1783.9,1782.7,1783.1,1784.7,1785.9,1787.4,1788.1,1788.7,1789.2,1789.9,1791.5,1793.2
Hà Nam,763.7,771.6,779.4,786.6,792.5,793.8,793.2,792.8,792.3,791.9,791.3,790,788.4,786.9,786.2,786.3,786.9,792.2,796,799.4,802.7,803.7,805.7,808.2
Nam Ðịnh,1820.5,1838,1856.2,1874.4,1891.9,1886.5,1879.7,1872.8,1866.3,1859.4,1851,1839.4,1829.7,1826.1,1828.4,1830,1833.5,1835.1,1839.9,1845.6,1850.6,1852.6,1853.3,1854.4
Ninh Bình,855.5,866,874.2,881.1,885,886.8,888.7,889.9,890.9,892.2,893.5,894.6,896.1,898.1,899.6,901.7,907.7,919.1,927.2,935.8,944.4,953.1,961.9,973.3
Hà Giang,550.3,564.2,577.7,590.4,605.9,619.2,631.6,643.9,656.2,669,681.7,693.4,704.9,716.2,725.1,733.8,746.6,761.6,775.8,788.8,801.8,820.4,833.7,846.5
Cao Bằng,489.2,489.4,490,490.5,492.1,493.9,496.2,498.7,500.8,502.8,504.9,506.8,508.6,510.5,511.2,513.1,514,515.2,517.9,520.2,524.6,530.1,535.4,540.4
Bắc Kạn,254.2,259.6,265.2,270.9,276.4,278.4,280.5,282.5,284.4,286.5,288.4,290,291.8,293.6,294.6,297.5,300.4,303,305.2,307.3,313.1,319,323.2,327.9
Tuyên Quang,638.8,648.9,659,668,677.3,684.1,690.2,696.3,701.9,707.5,712.1,715.7,719.4,723.5,725.2,729.3,734.9,740.8,747.2,753.8,760.3,766.9,773.5,780.1
Lào Cai,550.1,562.8,574.5,585.9,598.5,607.4,616.6,625.7,634.2,573.9,581.4,590.2,598.3,606.5,615.8,626.8,637,646.5,655.9,665.2,674.5,684.3,694.4,705.6
Yên Bái,647.7,655.9,664.5,673.1,682.1,688,694.1,700.1,706.8,713.5,719.5,725.4,731.6,737.5,741.7,751.3,758.6,765.7,774.6,783.5,793.1,800.3,807.3,815.6
Thái Nguyên,1005,1020.6,1029.6,1038.5,1047.8,1055.5,1063.6,1071,1079.5,1089,1098.5,1106.5,1113,1120.3,1125.4,1131.3,1139.4,1149.1,1156,1173.2,1215.3,1243.8,1255.1,1268.3
Lạng Sơn,679.2,689.2,694.7,700.2,705.9,707.9,710.5,713.2,716.7,720.5,724.1,726.3,728.2,730.7,733.2,736.3,740.8,745.3,749.7,753.7,760.6,768.7,779.9,790.5
Bắc Giang,1431,1451.4,1468.3,1477.4,1495.7,1502.7,1509.1,1515.8,1522.6,1530.3,1537.3,1543,1548.8,1554.6,1556.9,1569.8,1581.8,1592.9,1608,1624.5,1640.9,1657.6,1674.4,1691.8
Phú Thọ,1211.7,1224.8,1237.9,1250.8,1263.8,1270.1,1276,1281.4,1286.3,1291.7,1297.3,1301.5,1305.6,1311.5,1316.6,1322.7,1329.3,1340.8,1351.2,1360.2,1370.6,1381.7,1392.9,1404.2
Ðiện Biên,..,..,..,..,..,..,..,..,..,423.3,438.5,452.7,466,479.3,490.8,501.2,510.8,519.7,528.5,538.1,547.8,557.4,566.9,576.7
Lai Châu,535.5,549.5,562.8,576.7,593.6,616.8,638.7,661.6,684.7,351.3,356.7,360.7,364.4,367.9,371.4,380.8,389.4,397.3,405.7,415.3,424.6,435.1,446.1,456.3
Sơn La,811.7,833.4,855,877,886.5,909.9,931.4,953,974.5,994.6,1014.5,1033.5,1050.8,1067.2,1079.2,1098.9,1118.6,1134.4,1150.5,1166.4,1187.4,1208.2,1226,1242.7
Hoà Bình,718.5,730,741.6,751.8,759.7,770.5,783.3,796.8,810.9,827.1,843.8,858.6,872.8,778,786.4,791.6,799,805.2,810.3,817.4,824.3,831.4,838.8,846.1
Thanh Hoá,3337.7,3375.9,3414.1,3448.5,3474.5,3468.2,3464,3457.8,3449.8,3442.6,3436.4,3428,3417.3,3408.8,3404.3,3421.8,3437.7,3457.9,3477.7,3496.1,3512.1,3528.3,3544.4,3558.2
Nghệ An,2714.9,2752.8,2791.3,2829.4,2865.2,2871.1,2877,2881.6,2884.9,2890,2895.6,2900.1,2905.2,2912.1,2914.5,2934.1,2955.9,2983.3,3011.3,3037.4,3080,3105.5,3131.3,3157.1
Hà Tĩnh,1247.7,1253.2,1258.6,1264.4,1271.1,1268.4,1265.1,1260.8,1256.3,1252.2,1247.8,1243.6,1239,1234,1227.8,1232.7,1237.8,1243.2,1249.1,1255.3,1261.3,1266.7,1272.2,1277.5
Quảng Bình,746.1,758.2,771,783.9,795.8,802.1,808.1,814.8,819.8,825,830.3,834.5,838.5,843.5,845,848.6,853.4,858.3,863.4,868.2,872.9,877.7,882.5,887.6
Quảng Trị,534.9,544.8,555,565.4,574.9,577.6,580.8,583.9,586.3,588.6,590.3,591.9,594.1,596.7,598.6,601.7,604.7,608.2,613,616.4,619.9,623.5,627.3,630.6
Thừa Thiên Huế,999.3,1011.2,1023.1,1035.6,1049.1,1052.1,1056.3,1060.1,1064.2,1068.6,1072.9,1076.9,1081,1084.9,1087.6,1090.9,1103.1,1113.9,1122.7,1131.8,1141.7,1149.9,1154.3,1163.6
Ðà Nẵng,637.3,649.3,661.8,674.4,687.3,706.1,723.1,739.7,760.7,784.8,805.7,825.9,847.5,868.8,894.5,922.7,946,966.3,986.8,1007.7,1026.8,1045.3,1064.1,1080.7
Quảng Nam,1322,1335.3,1348.1,1361.8,1375.8,1382.5,1388.8,1394.3,1398.6,1403,1407.4,1410.8,1413.9,1417.8,1423,1433.2,1442.7,1452.9,1463.2,1471.8,1479.8,1486.7,1493.8,1501.1
Quảng Ngãi,1149,1159.7,1170.4,1181.4,1191.9,1194.3,1197.8,1200.6,1203.2,1206.5,1210,1212.6,1214.8,1217,1217.2,1221,1225.2,1229.8,1236.3,1241.4,1246.4,1254.2,1263.7,1272.8
Bình Ðịnh,1394.4,1412.7,1431.3,1449.6,1465.2,1466.1,1468.4,1470.7,1473.1,1475.5,1477.8,1480.1,1482.3,1485.6,1487.4,1492,1498.2,1502.4,1509.3,1514.5,1520.2,1524.6,1529,1534.8
Phú Yên,740.3,752.3,764.4,777.1,790.5,799.6,808.4,816.8,824.8,832,838.2,844.3,850.3,856.7,862.4,866.1,870,876.1,882,887.4,893.4,899.4,904.4,909.5
Khánh Hoà,959.4,978,996.7,1016.2,1034.9,1049.6,1063.8,1077.2,1091.1,1104,1115,1125.2,1137.5,1149.3,1158.2,1164.3,1171.4,1180.1,1188.4,1196.9,1205.3,1213.8,1222.2,1232.4
Ninh Thuận,466.5,476.6,487.1,497.7,507.4,516.7,525.8,532.5,538.2,543.5,547.9,551.4,555.8,560.7,565.8,569.5,574.1,579.4,584.9,590.4,595.9,601.4,607,611.8
Bình Thuận,951.7,976.2,1001.1,1027,1050.9,1063.9,1078,1093.4,1108.6,1122.2,1133.3,1142.1,1151.9,1162,1169.4,1176.8,1184.5,1191.6,1199.5,1207.4,1215,1222.7,1230.4,1239.2
Kon Tum,279.5,288.3,297.3,306.7,316.6,328.1,339,350.2,361.5,373.7,386,396.6,408.1,420.5,431.8,442.1,451.6,462.7,473.3,484.2,495.9,507.8,520,535
Gia Lai,850.7,881.5,912.8,946.1,981.5,1026.3,1065.6,1092.9,1119.1,1147.1,1174.6,1200.5,1225.5,1251.3,1281,1301.6,1321.7,1340.5,1359.1,1377.8,1397.4,1417.3,1437.4,1458.5
Ðắk Lắk,1398.3,1501.8,1605.1,1703.1,1793.4,1860.9,1912.2,1954.5,1995.6,1635.6,1658.5,1677.8,1696.6,1715.1,1735.7,1752.7,1770.5,1791.4,1812.8,1833.3,1853.7,1874.5,1896.6,1919.2
Ðắk Nông,..,..,..,..,..,..,..,..,..,403.4,423.6,440.9,457.3,474.4,491,503.8,519.6,536.7,555.1,571.3,587.8,608.4,628.1,645.4
Lâm Ðồng,856.3,891.4,927.9,966.3,1004.6,1031.1,1050.7,1067.7,1085,1104.4,1125.5,1145.1,1160.5,1175.4,1189.3,1204.1,1218.7,1232,1245.4,1259.3,1273.1,1285.9,1298.9,1312.9
Bình Phước,533.2,551.4,572.6,608.1,652.3,682.9,707.9,732.6,754.6,777.4,799.6,819,838.3,858,875,885.8,897.3,908.9,920.7,932.5,944.4,956.4,968.9,979.6
Tây Ninh,910,924.1,938.8,953.7,968,983.3,996.5,1007.2,1017.9,1029.2,1038.2,1046.4,1053,1060.5,1067.2,1074.3,1082,1089.7,1096.9,1104.2,1111.5,1118.8,1126.2,1133.4
Bình Dương,639,658.5,679,700.1,720.8,779.4,845.5,910,973.1,1037.1,1109.3,1203.7,1307,1402.7,1512.5,1590.8,1659.1,1731,1802.5,1873.6,1930.4,1995.8,2071,2163.6
Ðồng Nai,1844.8,1882.2,1920,1959.3,1999.5,2054.1,2093.7,2132.1,2176.1,2220.5,2263.8,2314.9,2372.6,2432.7,2499.7,2571.5,2640.2,2707.8,2772.7,2838.6,2897.6,2961.8,3027.3,3086.1
Bà Rịa - Vũng Tàu,708.9,730.4,752.7,775.6,805.1,829.9,858,880.8,899.1,918.9,938.8,955.7,970.2,983.6,998.5,1011.3,1022.5,1033,1046.5,1059.5,1079.1,1090.3,1101.6,1112.9
TP.Hồ Chí Minh,4640.4,4747.9,4852.3,4957.3,5073.1,5274.9,5454,5619.4,5809.1,6007.6,6230.9,6483.1,6725.3,6946.1,7196.1,7346.6,7498.4,7660.3,7820,7981.9,8127.9,8287,8445.6,8598.7
Long An,1250.8,1265.1,1279.9,1294.8,1311.1,1327.1,1343.1,1356.5,1369,1382.2,1393.4,1405.2,1417.9,1428.2,1436.3,1442.8,1449.9,1460.3,1469.9,1477.3,1484,1490.4,1496.8,1503.1
Tiền Giang,1581.5,1587.4,1593.6,1600,1608.4,1613.5,1620.1,1626.7,1634,1642.7,1650.1,1655.3,1661.6,1668,1672.8,1678,1682.6,1692.5,1703.4,1716.1,1728.1,1740.1,1751.8,1762.3
Bến Tre,1281.8,1286.8,1291.4,1294.7,1299.1,1297.9,1294.9,1289,1282.8,1277.6,1273.2,1269.3,1264.8,1259.6,1256.1,1256.6,1257.4,1258.9,1260.6,1262.2,1263.7,1265.2,1266.7,1268.2
Trà Vinh,934.9,942.6,950.8,959.2,969.1,972,975.3,979.2,982.5,986.3,990.2,993.7,997.2,1000.8,1003.2,1008,1013.1,1018.4,1023.9,1029.3,1034.6,1040.5,1045.6,1049.8
Vĩnh Long,990.4,995.6,1001,1006.4,1012.3,1013.4,1014.6,1015.9,1017.4,1018.8,1020.2,1021.6,1022.8,1024,1025.1,1026.5,1029.1,1034.5,1037.8,1041.5,1045.1,1048.6,1050.2,1051.8
Ðồng Tháp,1489.3,1510.4,1532.5,1556.5,1568.2,1580.6,1592.2,1603.5,1614.3,1626.6,1639.5,1646.8,1654.5,1662.5,1666.6,1669.6,1671.7,1675,1678.4,1681.3,1684.3,1687.3,1690.3,1693.3
An Giang,1970.1,1990.7,2011.1,2032.5,2055.4,2061.7,2073.8,2085.6,2096.3,2107.4,2118.1,2125.8,2134.3,2142.6,2147.6,2148.3,2149,2151.2,2153.3,2155.8,2158.3,2159.9,2161.7,2164.2
Kiên Giang,1392,1422.3,1452.9,1480.3,1504.2,1522.7,1540.9,1559.6,1578.9,1599.1,1619.8,1637.8,1654.9,1672.3,1688.5,1698.7,1710.9,1723.8,1734.3,1745.5,1761,1776.7,1792.6,1810.5
Cần Thơ,1739.7,1758.8,1778,1796.4,1816.8,1830.7,1845.7,1859.9,1873.5,1138.1,1149,1160.5,1172,1180.9,1188.6,1197.9,1208,1218.3,1228.5,1238.3,1248,1262.6,1272.8,1282.3
Hậu Giang,..,..,..,..,..,..,..,..,..,749.8,751.5,752.8,754.7,756.3,758,759.8,761.7,763.8,766.2,768.4,770.5,772.5,774.6,776.7
Sóc Trăng,1150.1,1155.9,1162.3,1168.8,1177.9,1193.4,1210.3,1224.6,1237.4,1249.8,1258.6,1265.6,1276.3,1285.1,1293.2,1295.6,1298.4,1301.5,1304.7,1307.7,1310.7,1312.5,1314.3,1315.9
Bạc Liêu,709.5,716.3,724.2,732.1,738.2,749.7,764.2,777.4,789.1,801.3,812.8,823.8,835.8,847.5,856.8,861,864.9,869.3,873.6,877.9,882,886.2,894.3,897
Cà Mau,1041.8,1061.6,1081.1,1101.8,1123.5,1133.9,1145.2,1155.3,1164.5,1174.4,1182.9,1188.7,1195.2,1201.7,1207.1,1208.5,1210,1212.1,1214.2,1216.4,1218.9,1222.6,1226.3,1229.6
